Name,Address,Rating,Enrollment,Grade span
Adams (J. Douglas) Middle School,"401 American Ave., Brentwood",87,"1,167",06-08
Adams Elementary School,"2850 Club House Rd., Costa Mesa",44,423,KG-06
Adams Elementary School,"8362 Colorado Ave., Riverside",26,513,KG-06
Adams Elementary School,"4672 35th St., San Diego",38,318,KG-05
Adams Elementary School,"2130 S. Raitt St., Santa Ana",17,506,KG-05
Adams Elementary School,"2701 Las Positas Rd., Santa Barbara",59,555,KG-06
Adams Elementary School,"6402 Inglewood Ave., Stockton",11,558,KG-08
Adams Middle School,"2600 Ripley Ave., Redondo Beach",85,994,06-08
Addams Elementary School,"2117 W. McKinley Ave., Fresno",10,824,KG-06
Addams Elementary School,"5320 Pine Ave., Long Beach",27,928,KG-05
Addison Elementary School,"650 Addison Ave., Palo Alto",93,475,KG-05
Adelante Charter School,"1102 E. Yanonali St., Santa Barbara",23,274,KG-06
Adelante Dual Language Academy School,"2999 Ridgemont Dr., San Jose",49,586,KG-08
Adelante High School,"701 General Petroleum St., Kettleman City",-,3,09-12
Adelante High School,"6801 Seventh St., Riverbank",26,61,10-12
Adelante High (Continuation) School,"350 Atlantic St., Roseville",17,102,09-12
Adelante Spanish Immersion School,"3150 Granger Way, Redwood City",63,479,KG-05
Adelanto Elementary School,"17931 Jonathan St., Adelanto",4,493,KG-05
Adelanto High School,"15620 Joshua St., Adelanto",24,"1,695",09-12
Adele Harrison Middle School,"1150 BRd.way, Sonoma",44,415,06-08
Adobe Bluffs Elementary School,"8707 Adobe Bluffs Dr., San Diego",98,352,KG-05
Adolfo Camarillo High School,"4660 Mission Oaks Blvd., Camarillo",72,"2,418",09-12
Adrian Wilcox High School,"3250 Monroe St., Santa Clara",73,"1,977",09-12
Adult Transition Program School,"800 W. Covina Blvd., San Dimas",-,-2,AE
Advanced Learning Academy School,"335 E. Walnut Ave., Santa Ana",26,-,KG-08
Aeolian Elementary School,"11600 Aeolian St., Whittier",24,507,KG-06
Afflerbaugh-Paige Camp School,"6621 N. Stephens Ranch Rd., La Verne",43,112,07-12
Aggeler Community Day School,"21050 Plummer St., Los Angeles",32,78,07-12
Agnes J. Johnson Elementary School,"73 Sch Rd., Weott",41,80,KG-06
Agnes L. Smith Elementary School,"770 17th St., Huntington Beach",88,844,KG-05
Agnes M. Baptist Elementary School,"1825 Cheyenne Way, Modesto",69,614,KG-06
Agnes Ware Stanley Elementary School,"12201 Elmwood Ave., Garden Grove",56,383,KG-06
Agoura High School,"28545 W. Dr.r Ave., Agoura Hills",77,"2,075",09-12
Agua Caliente Elementary School,"30-800 San Luis Rey Plaza, Cathedral City",21,594,KG-05
Ahwahnee High School,"50407 Hangtree Ln., Oakhurst",-,22,09-12
Ahwahnee Middle School,"1127 E. Escalon Ave., Fresno",17,662,07-08
Aileen Colburn Elementary School,"2201 Heller St., Atwater",44,415,KG-06
Akers Elementary School,"Constellation Ave., N.A.S. Lemoore",67,646,KG-08
Akira Yokomi Elementary School,"2323 E. McKenzie, Fresno",40,828,KG-06
Alain Leroy Locke College Preparatory Academy School,"325 E. 111th St., Los Angeles",11,"1,684",09-12
Alameda Community Learning Center School,"1900 Third St., Alameda",92,379,06-12
Alameda County Community School,"313 W. Winton Ave., Hayward",9,253,KG-12
Alameda County Juvenile Hall/Court School,"2500 Fairmont Ave., San Leandro",23,122,KG-12
Alameda County Special Education School,"313 W. Winton Ave., Hayward",-,-,-
Alameda Elementary School,"8613 E. Alameda St., Downey",55,607,KG-03
Alameda High School,"2201 Encinal Ave., Alameda",88,"1,718",09-12
Alameda Science And Technology Institute School,"555 Atlantic Ave., Alameda",100,175,09-12
Alamitos Intermediate School,"12381 Dale St., Garden Grove",65,806,07-08
Alamo Elementary School,"100 Wilson Rd., Alamo",98,378,KG-05
Alamo Elementary School,"250 23rd Ave., San Francisco",86,535,KG-05
Alamo Elementary School,"500 S. Orchard Ave., Vacaville",53,684,KG-06
Alamos Elementary School,"38200 Pacific Park Dr., Murrieta",82,832,KG-05
Alamosa Park Elementary School,"5130 Alamosa Park Dr., Oceanside",57,510,KG-05
Albany High School,"603 Key Route Blvd., Albany",93,"1,210",09-12
Albany Middle School,"1259 Brighton Ave., Albany",95,895,06-08
Albany Park Elementary School,"235 W. 20th Ave., Delano",18,442,KG-05
Albert A. Michelson Elementary School,"196 Pennsylvania Gulch Rd., Murphys",68,228,KG-05
Albert Baxter Elementary School,"14929 Cerritos Ave., Bellflower",66,503,KG-06
Albert Einstein Academy Ltrs Arts Scis - Aqua Dulce Part. Academy School,"11311 Frascati St., Agua Dulce",41,197,KG-06
Albert Einstein Academy For Ltrs Arts & Scis - Odyssey School,"8844 Burton Way, Beverly Hills",-,185,KG-12
Albert Einstein Academy Charter Elementary School,"3035 Ash St., San Diego",70,693,KG-05
Albert Einstein Academy Charter Middle School,"458 26th St., San Diego",79,587,06-08
Albert Einstein Academy For Letters Arts And Sciences School,"28141 Kelly Johnson Pkwy., Santa Clarita",91,449,07-12
Albert Einstein Academy For Letters Arts And Sciences-Steam School,"25443 Orchard Village Rd., Santa Clarita",74,677,KG-06
Albert Einstein Continuation School,"15938 Tupper St., Los Angeles",20,72,09-12
Albert Einstein Middle School,"9325 Mirandy Dr., Sacramento",53,743,07-08
Albert F. Biella Elementary School,"2140 Jennings Ave., Santa Rosa",26,414,KG-06
Albert Powell Continuation School,"1875 Clark Ave., Yuba City",23,180,10-12
Albert Weitzer Elementary School,"4350 Glenridge Dr., Carmichael",41,372,KG-05
Alberta Martone Elementary School,"1413 Poust Rd., Modesto",48,651,KG-06
Albion Elementary School,"30400 Albion Ridge Rd., Albion",-,24,KG-03
Albion Street Elementary School,"322 S. Ave. 18, Los Angeles",19,262,KG-06
Alcott Elementary School,"1600 S. Towne Ave., Pomona",22,934,KG-06
Alcott Elementary School,"2433 Central Ave., Riverside",50,807,KG-06
Alcott Elementary School,"4680 Hidalgo Ave., San Diego",51,186,KG-05
Aldama Elementary School,"632 N. Ave. 50, Los Angeles",23,564,KG-06
Alder Creek Middle School,"10931 Alder Dr., Truckee",73,495,06-08
Alder Grove Charter School,"714 F St., Eureka",38,379,KG-12
Alder Middle School,"7555 Alder Ave., Fontana",21,"1,177",06-08
Alderwood Elementary School,"2005 Knollcrest, Irvine",96,847,KG-06
Alessandro School,"23311 Dracaea Ave., Moreno Valley",-,49,KG-12
Alessandro High School,"831 E. Devonshire Ave., Hemet",11,350,09-12
Alexander Fleming Middle School,"25425 Walnut St., Lomita",33,"1,442",06-08
Alexander Hamilton Elementary School,"2245 E. 11th St., Stockton",9,826,KG-08
Alexander Hamilton Senior High School,"2955 Robertson Blvd., Los Angeles",53,"2,879",09-12
Alexander Rose Elementary School,"250 Roswell Dr., Milpitas",68,451,KG-06
Alexander Valley Elementary School,"8511 Highway 128, Healdsburg",84,123,KG-06
Alexandria Avenue Elementary School,"4211 Oakwood Ave., Los Angeles",16,753,KG-05
Alfonso B. Perez Special Education Center School,"4540 Michigan Ave., Los Angeles",-,250,KG-12
Alfred B. Nobel Charter Middle School,"9950 Tampa Ave., Los Angeles",87,"2,456",06-08
Alfred S. Madrid Middle School,"3300 Gilman Rd., El Monte",26,844,06-08
Alhambra High School,"101 S. Second St., Alhambra",73,"2,642",09-12
Alhambra Senior High School,"150 E St., Martinez",73,"1,179",09-12
Alianza Charter School,"115 Casserly Rd., Watsonville",20,661,KG-08
Alicante Avenue Elementary School,"7998 Alicante Ave., Lamont",14,"1,212",KG-06
Alice Birney Elementary School,"1050 E. Olive St., Colton",10,778,KG-06
Alice Birney Elementary School,"717 S. Ave., Eureka",12,424,KG-05
Alice Birney Waldorf-Inspired School,"6251 13th St., Sacramento",51,582,KG-08
Alice C. Stelle Middle School,"22450 Mulholland Hwy., Calabasas",89,790,06-08
Alice M. Ellington Elementary School,"5034 N. Clydebank, Covina",26,557,KG-08
Alice N. Stroud Elementary School,"815 Frazine Rd., Modesto",49,480,KG-06
Alice Shaw Elementary School,"759 Dahlia Pl., Santa Maria",41,642,KG-06
Alicia Cortez Elementary School,"12750 Carissa Ave., Chino",35,684,KG-06
Alicia Reyes Elementary School,"123 S. N St., Merced",9,652,KG-06
Alila School,"850 W. Washington Ave., Earlimart",11,616,KG-05
Alisal Community School,"1437 Del Monte Ave., Salinas",22,782,KG-06
Alisal Elementary School,"1454 Santa Rita Rd., Pleasanton",92,628,KG-05
Alisal High School,"777 Williams Rd., Salinas",36,"2,585",09-12
Aliso Elementary School,"4545 Carpinteria Ave., Carpinteria",59,405,KG-05
Aliso Niguel High School,"28000 Wolverine Way, Aliso Viejo",91,"3,068",09-12
Aliso Viejo Middle School,"111 Park Ave., Aliso Viejo",94,"1,055",06-08
All Tribes Charter School,"34320 Valley Center Rd., Valley Center",3,44,06-12
All Tribes Elementary Charter School,"34320 Valley Center Rd., Valley Center",-,30,KG-05
Allan Orrenmaa Elementary School,"3350 Fillmore St., Riverside",32,597,KG-05
Allan Peterson Elementary School,"848 E. Donna Dr., Merced",56,708,KG-06
Allen (Decima M.) Elementary School,"875 W. Angus Ave., San Bruno",43,360,KG-05
Allen (Ella B.) Elementary School,"4300 Allen Sch Rd., Bonita",82,401,KG-06
Allen Avenue Elementary School,"740 E. Allen Ave., San Dimas",67,513,KG-05
Allen At Steinbeck School,"820 Steinbeck Dr., San Jose",29,724,KG-08
Allendale Elementary School,"3670 Penniman Ave., Oakland",9,374,KG-05
Allensworth Elementary School,"3320 Young Rd., Allensworth",8,86,KG-08
Allesandro Elementary School,"2210 Riverside Dr., Los Angeles",67,440,KG-06
Alliance 6-12 College-Ready Academy 21 School,"8755 Woodman Ave., Los Angeles",65,50,06-12
Alliance Academy School,"1800 98th Ave., Oakland",4,371,06-08
Alliance Alice M. Baxter College-Ready High School,"461 W. 9th St., Los Angeles",68,220,09-12
Alliance Cindy And Bill Simon Technology Academy High School,"10720 S. Wilmington Ave., Los Angeles",37,514,09-12
